nome_produto,nivel_comercializacao,estado,mes_ano,preco_medio
ABACAXI HAVAÍ (kg),PRODUTOR,PR,10/2017,"1,30"
ABACAXI HAVAÍ (kg),PRODUTOR,PR,11/2017,"1,40"
ABACAXI HAVAÍ (kg),PRODUTOR,PR,12/2017,"1,25"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,05/2017,"38,10"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,06/2017,"38,10"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,07/2017,"33,90"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,08/2017,"32,26"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,09/2017,"13,60"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,10/2017,"14,73"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,11/2017,"15,31"
ABACAXI PÉROLA (6.50 kg),PRODUTOR,DF,12/2017,"13,57"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,11/2015,"29,00"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,12/2015,"24,90"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,01/2016,"31,66"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,02/2016,"30,70"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,03/2016,"30,70"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,04/2016,"30,70"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,05/2016,"30,70"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,06/2016,"28,54"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,07/2016,"28,40"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,08/2016,"29,60"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,09/2016,"29,45"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,10/2016,"27,57"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,11/2016,"26,90"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,12/2016,"27,73"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,01/2017,"35,70"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,02/2017,"38,10"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,03/2017,"38,10"
ABACAXI PÉROLA (cx 10 un),PRODUTOR,DF,04/2017,"38,10"
ABACAXI PÉROLA (kg),PRODUTOR,AM,01/2014,"1,35"
ABACAXI PÉROLA (kg),PRODUTOR,AM,02/2014,"1,56"
ABACAXI PÉROLA (kg),PRODUTOR,AM,03/2014,"1,60"
ABACAXI PÉROLA (kg),PRODUTOR,AM,04/2014,"1,63"
ABACAXI PÉROLA (kg),PRODUTOR,AM,05/2014,"1,60"
ABACAXI PÉROLA (kg),PRODUTOR,AM,06/2014,"1,58"
ABACAXI PÉROLA (kg),PRODUTOR,AM,07/2014,"1,41"
ABACAXI PÉROLA (kg),PRODUTOR,AM,08/2014,"1,43"
ABACAXI PÉROLA (kg),PRODUTOR,AM,09/2014,"1,47"
ABACAXI PÉROLA (kg),PRODUTOR,AM,10/2014,"1,56"
ABACAXI PÉROLA (kg),PRODUTOR,AM,11/2014,"1,80"
ABACAXI PÉROLA (kg),PRODUTOR,AM,12/2014,"1,78"
ABACAXI PÉROLA (kg),PRODUTOR,AM,01/2015,"1,76"
ABACAXI PÉROLA (kg),PRODUTOR,AM,02/2015,"1,58"
ABACAXI PÉROLA (kg),PRODUTOR,AM,03/2015,"1,46"
ABACAXI PÉROLA (kg),PRODUTOR,AM,04/2015,"1,48"
ABACAXI PÉROLA (kg),PRODUTOR,AM,05/2015,"1,75"
ABACAXI PÉROLA (kg),PRODUTOR,AM,06/2015,"1,70"
ABACAXI PÉROLA (kg),PRODUTOR,AM,07/2015,"1,87"
ABACAXI PÉROLA (kg),PRODUTOR,AM,08/2015,"2,58"
ABACAXI PÉROLA (kg),PRODUTOR,AM,09/2015,"1,94"
ABACAXI PÉROLA (kg),PRODUTOR,AM,10/2015,"2,12"
ABACAXI PÉROLA (kg),PRODUTOR,AM,11/2015,"2,55"
ABACAXI PÉROLA (kg),PRODUTOR,AM,12/2015,"1,68"
ABACAXI PÉROLA (kg),PRODUTOR,AM,01/2016,"2,06"
ABACAXI PÉROLA (kg),PRODUTOR,AM,02/2016,"2,30"
ABACAXI PÉROLA (kg),PRODUTOR,AM,03/2016,"2,41"
ABACAXI PÉROLA (kg),PRODUTOR,AM,04/2016,"2,38"
ABACAXI PÉROLA (kg),PRODUTOR,AM,05/2016,"1,89"
ABACAXI PÉROLA (kg),PRODUTOR,AM,06/2016,"2,04"
ABACAXI PÉROLA (kg),PRODUTOR,AM,07/2016,"2,06"
ABACAXI PÉROLA (kg),PRODUTOR,AM,08/2016,"1,72"
ABACAXI PÉROLA (kg),PRODUTOR,AM,09/2016,"2,20"
ABACAXI PÉROLA (kg),PRODUTOR,AM,10/2016,"2,20"
ABACAXI PÉROLA (kg),PRODUTOR,AM,11/2016,"1,94"
ABACAXI PÉROLA (kg),PRODUTOR,AM,12/2016,"1,96"
ABACAXI PÉROLA (kg),PRODUTOR,AM,01/2017,"2,03"
ABACAXI PÉROLA (kg),PRODUTOR,AM,02/2017,"2,19"
ABACAXI PÉROLA (kg),PRODUTOR,AM,03/2017,"2,03"
ABACAXI PÉROLA (kg),PRODUTOR,AM,04/2017,"1,56"
ABACAXI PÉROLA (kg),PRODUTOR,AM,05/2017,"1,36"
ABACAXI PÉROLA (kg),PRODUTOR,AM,06/2017,"1,49"
ABACAXI PÉROLA (kg),PRODUTOR,AM,07/2017,"1,61"
ABACAXI PÉROLA (kg),PRODUTOR,AM,08/2017,"1,67"
ABACAXI PÉROLA (kg),PRODUTOR,AM,09/2017,"1,85"
ABACAXI PÉROLA (kg),PRODUTOR,AM,10/2017,"2,10"
ABACAXI PÉROLA (kg),PRODUTOR,AM,11/2017,"2,22"
ABACAXI PÉROLA (kg),PRODUTOR,AM,12/2017,"2,09"
ABACAXI PÉROLA (kg),PRODUTOR,AP,01/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,AP,02/2014,"2,38"
ABACAXI PÉROLA (kg),PRODUTOR,AP,03/2014,"2,50"
ABACAXI PÉROLA (kg),PRODUTOR,AP,04/2014,"2,50"
ABACAXI PÉROLA (kg),PRODUTOR,AP,05/2014,"2,25"
ABACAXI PÉROLA (kg),PRODUTOR,AP,06/2014,"2,19"
ABACAXI PÉROLA (kg),PRODUTOR,AP,07/2014,"2,05"
ABACAXI PÉROLA (kg),PRODUTOR,AP,08/2014,"1,92"
ABACAXI PÉROLA (kg),PRODUTOR,AP,09/2014,"1,80"
ABACAXI PÉROLA (kg),PRODUTOR,AP,10/2014,"1,92"
ABACAXI PÉROLA (kg),PRODUTOR,AP,11/2014,"2,10"
ABACAXI PÉROLA (kg),PRODUTOR,AP,12/2014,"2,50"
ABACAXI PÉROLA (kg),PRODUTOR,AP,01/2015,"3,00"
ABACAXI PÉROLA (kg),PRODUTOR,AP,02/2015,"3,75"
ABACAXI PÉROLA (kg),PRODUTOR,AP,03/2015,"2,50"
ABACAXI PÉROLA (kg),PRODUTOR,AP,04/2015,"2,50"
ABACAXI PÉROLA (kg),PRODUTOR,AP,05/2015,"2,50"
ABACAXI PÉROLA (kg),PRODUTOR,AP,06/2015,"2,50"
ABACAXI PÉROLA (kg),PRODUTOR,AP,07/2015,"2,50"
ABACAXI PÉROLA (kg),PRODUTOR,AP,08/2015,"2,38"
ABACAXI PÉROLA (kg),PRODUTOR,AP,09/2015,"2,40"
ABACAXI PÉROLA (kg),PRODUTOR,AP,10/2015,"2,40"
ABACAXI PÉROLA (kg),PRODUTOR,AP,11/2015,"2,40"
ABACAXI PÉROLA (kg),PRODUTOR,AP,12/2015,"2,40"
ABACAXI PÉROLA (kg),PRODUTOR,AP,01/2016,"2,40"
ABACAXI PÉROLA (kg),PRODUTOR,AP,02/2016,"2,40"
ABACAXI PÉROLA (kg),PRODUTOR,AP,03/2016,"2,45"
ABACAXI PÉROLA (kg),PRODUTOR,AP,04/2016,"2,57"
ABACAXI PÉROLA (kg),PRODUTOR,AP,05/2016,"1,75"
ABACAXI PÉROLA (kg),PRODUTOR,AP,06/2016,"2,42"
ABACAXI PÉROLA (kg),PRODUTOR,AP,07/2016,"2,65"
ABACAXI PÉROLA (kg),PRODUTOR,AP,08/2016,"2,62"
ABACAXI PÉROLA (kg),PRODUTOR,AP,09/2016,"2,66"
ABACAXI PÉROLA (kg),PRODUTOR,AP,10/2016,"2,75"
ABACAXI PÉROLA (kg),PRODUTOR,AP,11/2016,"3,32"
ABACAXI PÉROLA (kg),PRODUTOR,AP,12/2016,"3,10"
ABACAXI PÉROLA (kg),PRODUTOR,AP,01/2017,"3,03"
ABACAXI PÉROLA (kg),PRODUTOR,AP,02/2017,"2,87"
ABACAXI PÉROLA (kg),PRODUTOR,AP,03/2017,"2,73"
ABACAXI PÉROLA (kg),PRODUTOR,AP,04/2017,"2,16"
ABACAXI PÉROLA (kg),PRODUTOR,AP,05/2017,"2,55"
ABACAXI PÉROLA (kg),PRODUTOR,AP,06/2017,"2,65"
ABACAXI PÉROLA (kg),PRODUTOR,AP,07/2017,"3,00"
ABACAXI PÉROLA (kg),PRODUTOR,AP,08/2017,"2,83"
ABACAXI PÉROLA (kg),PRODUTOR,AP,09/2017,"2,00"
ABACAXI PÉROLA (kg),PRODUTOR,AP,10/2017,"2,00"
ABACAXI PÉROLA (kg),PRODUTOR,AP,11/2017,"2,09"
ABACAXI PÉROLA (kg),PRODUTOR,AP,12/2017,"2,50"
ABACAXI PÉROLA (kg),PRODUTOR,ES,01/2014,"1,63"
ABACAXI PÉROLA (kg),PRODUTOR,ES,02/2014,"1,45"
ABACAXI PÉROLA (kg),PRODUTOR,ES,03/2014,"1,73"
ABACAXI PÉROLA (kg),PRODUTOR,ES,04/2014,"1,90"
ABACAXI PÉROLA (kg),PRODUTOR,ES,05/2014,"1,89"
ABACAXI PÉROLA (kg),PRODUTOR,ES,06/2014,"1,83"
ABACAXI PÉROLA (kg),PRODUTOR,ES,07/2014,"1,85"
ABACAXI PÉROLA (kg),PRODUTOR,ES,08/2014,"1,65"
ABACAXI PÉROLA (kg),PRODUTOR,ES,09/2014,"1,56"
ABACAXI PÉROLA (kg),PRODUTOR,ES,10/2014,"1,77"
ABACAXI PÉROLA (kg),PRODUTOR,ES,11/2014,"1,93"
ABACAXI PÉROLA (kg),PRODUTOR,ES,12/2014,"1,60"
ABACAXI PÉROLA (kg),PRODUTOR,ES,01/2015,"1,23"
ABACAXI PÉROLA (kg),PRODUTOR,ES,02/2015,"1,74"
ABACAXI PÉROLA (kg),PRODUTOR,ES,03/2015,"1,89"
ABACAXI PÉROLA (kg),PRODUTOR,ES,04/2015,"1,77"
ABACAXI PÉROLA (kg),PRODUTOR,ES,05/2015,"1,76"
ABACAXI PÉROLA (kg),PRODUTOR,ES,06/2015,"1,87"
ABACAXI PÉROLA (kg),PRODUTOR,ES,07/2015,"1,65"
ABACAXI PÉROLA (kg),PRODUTOR,ES,08/2015,"1,64"
ABACAXI PÉROLA (kg),PRODUTOR,ES,09/2015,"1,43"
ABACAXI PÉROLA (kg),PRODUTOR,ES,10/2015,"1,21"
ABACAXI PÉROLA (kg),PRODUTOR,ES,11/2015,"1,35"
ABACAXI PÉROLA (kg),PRODUTOR,ES,12/2015,"1,38"
ABACAXI PÉROLA (kg),PRODUTOR,ES,01/2016,"1,46"
ABACAXI PÉROLA (kg),PRODUTOR,ES,02/2016,"1,52"
ABACAXI PÉROLA (kg),PRODUTOR,ES,03/2016,"1,78"
ABACAXI PÉROLA (kg),PRODUTOR,ES,04/2016,"1,97"
ABACAXI PÉROLA (kg),PRODUTOR,ES,05/2016,"1,92"
ABACAXI PÉROLA (kg),PRODUTOR,ES,06/2016,"1,83"
ABACAXI PÉROLA (kg),PRODUTOR,ES,07/2016,"1,78"
ABACAXI PÉROLA (kg),PRODUTOR,ES,08/2016,"1,77"
ABACAXI PÉROLA (kg),PRODUTOR,ES,09/2016,"1,94"
ABACAXI PÉROLA (kg),PRODUTOR,ES,10/2016,"1,69"
ABACAXI PÉROLA (kg),PRODUTOR,ES,11/2016,"1,46"
ABACAXI PÉROLA (kg),PRODUTOR,ES,12/2016,"1,25"
ABACAXI PÉROLA (kg),PRODUTOR,ES,01/2017,"1,93"
ABACAXI PÉROLA (kg),PRODUTOR,ES,02/2017,"2,20"
ABACAXI PÉROLA (kg),PRODUTOR,ES,03/2017,"2,01"
ABACAXI PÉROLA (kg),PRODUTOR,ES,04/2017,"1,88"
ABACAXI PÉROLA (kg),PRODUTOR,ES,05/2017,"1,78"
ABACAXI PÉROLA (kg),PRODUTOR,ES,06/2017,"1,77"
ABACAXI PÉROLA (kg),PRODUTOR,ES,07/2017,"1,84"
ABACAXI PÉROLA (kg),PRODUTOR,ES,08/2017,"1,70"
ABACAXI PÉROLA (kg),PRODUTOR,ES,09/2017,"1,60"
ABACAXI PÉROLA (kg),PRODUTOR,ES,10/2017,"1,57"
ABACAXI PÉROLA (kg),PRODUTOR,ES,11/2017,"1,54"
ABACAXI PÉROLA (kg),PRODUTOR,ES,12/2017,"1,59"
ABACAXI PÉROLA (kg),PRODUTOR,PR,01/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,02/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,03/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,04/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,05/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,06/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,07/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,08/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,09/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,10/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,11/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,12/2014,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,01/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,02/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,03/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,04/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,05/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,06/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,07/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,08/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,09/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,10/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,11/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,12/2015,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,01/2016,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,02/2016,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,03/2016,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,04/2016,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,05/2016,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,06/2016,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,PR,07/2016,"1,50"
ABACAXI PÉROLA (kg),PRODUTOR,RR,01/2014,"1,17"
ABACAXI PÉROLA (kg),PRODUTOR,RR,02/2014,"1,15"
ABACAXI PÉROLA (kg),PRODUTOR,RR,03/2014,"1,21"
ABACAXI PÉROLA (kg),PRODUTOR,RR,04/2014,"1,25"
ABACAXI PÉROLA (kg),PRODUTOR,RR,05/2014,"1,25"
ABACAXI PÉROLA (kg),PRODUTOR,RR,06/2014,"1,25"
ABACAXI PÉROLA (kg),PRODUTOR,RR,07/2014,"1,25"
ABACAXI PÉROLA (kg),PRODUTOR,RR,08/2014,"1,25"
ABACAXI PÉROLA (kg),PRODUTOR,RR,09/2014,"1,25"
ABACAXI PÉROLA (kg),PRODUTOR,RR,10/2014,"1,28"
ABACAXI PÉROLA (kg),PRODUTOR,RR,11/2014,"1,30"
ABACAXI PÉROLA (kg),PRODUTOR,RR,12/2014,"1,27"
ABACAXI PÉROLA (kg),PRODUTOR,RR,01/2015,"1,20"
ABACAXI PÉROLA (kg),PRODUTOR,RR,02/2015,"1,20"
ABACAXI PÉROLA (kg),PRODUTOR,RR,03/2015,"1,20"
ABACAXI PÉROLA (kg),PRODUTOR,RR,04/2015,"1,24"
ABACAXI PÉROLA (kg),PRODUTOR,RR,05/2015,"1,25"
ABACAXI PÉROLA (kg),PRODUTOR,RR,06/2015,"1,25"
ABACAXI PÉROLA (kg),PRODUTOR,RR,07/2015,"1,26"
ABACAXI PÉROLA (kg),PRODUTOR,RR,08/2015,"1,28"
ABACAXI PÉROLA (kg),PRODUTOR,RR,09/2015,"1,31"
ABACAXI PÉROLA (kg),PRODUTOR,RR,10/2015,"1,33"
ABACAXI PÉROLA (kg),PRODUTOR,RR,11/2015,"1,42"
ABACAXI PÉROLA (kg),PRODUTOR,RR,12/2015,"1,52"
ABACAXI PÉROLA (kg),PRODUTOR,RR,01/2016,"1,53"
ABACAXI PÉROLA (kg),PRODUTOR,RR,02/2016,"1,74"
ABACAXI PÉROLA (kg),PRODUTOR,RR,03/2016,"1,93"
ABACAXI PÉROLA (kg),PRODUTOR,RR,04/2016,"2,15"
ABACAXI PÉROLA (kg),PRODUTOR,RR,05/2016,"2,27"
ABACAXI PÉROLA (kg),PRODUTOR,RR,06/2016,"2,00"
ABACAXI PÉROLA (kg),PRODUTOR,RR,07/2016,"1,58"
ABACAXI PÉROLA (kg),PRODUTOR,RR,08/2016,"1,68"
ABACAXI PÉROLA (kg),PRODUTOR,RR,09/2016,"2,46"
ABACAXI PÉROLA (kg),PRODUTOR,RR,10/2016,"2,19"
ABACAXI PÉROLA (kg),PRODUTOR,RR,11/2016,"2,00"
ABACAXI PÉROLA (kg),PRODUTOR,RR,12/2016,"1,57"
ABACAXI PÉROLA (kg),PRODUTOR,RR,01/2017,"1,75"
ABACAXI PÉROLA (kg),PRODUTOR,RR,02/2017,"1,31"
ABACAXI PÉROLA (kg),PRODUTOR,RR,03/2017,"1,48"
ABACAXI PÉROLA (kg),PRODUTOR,RR,04/2017,"1,84"
ABACAXI PÉROLA (kg),PRODUTOR,RR,05/2017,"1,63"
ABACAXI PÉROLA (kg),PRODUTOR,RR,06/2017,"1,22"
ABACAXI PÉROLA (kg),PRODUTOR,RR,07/2017,"1,21"
ABACAXI PÉROLA (kg),PRODUTOR,RR,08/2017,"1,27"
ABACAXI PÉROLA (kg),PRODUTOR,RR,09/2017,"1,07"
ABACAXI PÉROLA (kg),PRODUTOR,RR,10/2017,"1,32"
ABACAXI PÉROLA (kg),PRODUTOR,RR,11/2017,"1,23"
ABACAXI PÉROLA (kg),PRODUTOR,RR,12/2017,"1,10"
ABACAXI PÉROLA (kg),PRODUTOR,TO,01/2014,"1,44"
ABACAXI PÉROLA (kg),PRODUTOR,TO,02/2014,"1,53"
ABACAXI PÉROLA (kg),PRODUTOR,TO,03/2014,"1,51"
ABACAXI PÉROLA (kg),PRODUTOR,TO,04/2014,"1,49"
ABACAXI PÉROLA (kg),PRODUTOR,TO,05/2014,"1,49"
ABACAXI PÉROLA (kg),PRODUTOR,TO,06/2014,"1,42"
ABACAXI PÉROLA (kg),PRODUTOR,TO,07/2014,"1,39"
ABACAXI PÉROLA (kg),PRODUTOR,TO,08/2014,"1,36"
ABACAXI PÉROLA (kg),PRODUTOR,TO,09/2014,"1,44"
ABACAXI PÉROLA (kg),PRODUTOR,TO,10/2014,"1,38"
ABACAXI PÉROLA (kg),PRODUTOR,TO,11/2014,"1,40"
ABACAXI PÉROLA (kg),PRODUTOR,TO,12/2014,"1,43"
ABACAXI PÉROLA (kg),PRODUTOR,TO,01/2015,"1,46"
ABACAXI PÉROLA (kg),PRODUTOR,TO,02/2015,"1,46"
ABACAXI PÉROLA (kg),PRODUTOR,TO,03/2015,"2,09"
ABACAXI PÉROLA (kg),PRODUTOR,TO,04/2015,"2,04"
ABACAXI PÉROLA (kg),PRODUTOR,TO,05/2015,"1,67"
ABACAXI PÉROLA (kg),PRODUTOR,TO,06/2015,"1,55"
ABACAXI PÉROLA (kg),PRODUTOR,TO,07/2015,"1,63"
ABACAXI PÉROLA (kg),PRODUTOR,TO,08/2015,"1,66"
ABACAXI PÉROLA (kg),PRODUTOR,TO,09/2015,"1,55"
ABACAXI PÉROLA (kg),PRODUTOR,TO,10/2015,"1,55"
ABACAXI PÉROLA (kg),PRODUTOR,TO,11/2015,"1,58"
ABACAXI PÉROLA (kg),PRODUTOR,TO,12/2015,"1,71"
ABACAXI PÉROLA (kg),PRODUTOR,TO,01/2016,"1,62"
ABACAXI PÉROLA (kg),PRODUTOR,TO,02/2016,"1,55"
ABACAXI PÉROLA (t),PRODUTOR,AC,01/2014,"1820,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,02/2014,"2450,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,03/2014,"2600,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,04/2014,"2600,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,05/2014,"2600,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,06/2014,"2600,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,07/2014,"2600,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,08/2014,"2600,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,09/2014,"2600,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,10/2014,"2600,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,11/2014,"2600,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,12/2014,"2575,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,01/2015,"2500,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,02/2015,"2500,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,03/2015,"2500,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,04/2015,"2650,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,05/2015,"3110,40"
ABACAXI PÉROLA (t),PRODUTOR,AC,06/2015,"3000,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,07/2015,"2955,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,08/2015,"2822,50"
ABACAXI PÉROLA (t),PRODUTOR,AC,09/2015,"2729,62"
ABACAXI PÉROLA (t),PRODUTOR,AC,10/2015,"2098,50"
ABACAXI PÉROLA (t),PRODUTOR,AC,11/2015,"1592,50"
ABACAXI PÉROLA (t),PRODUTOR,AC,12/2015,"1179,88"
ABACAXI PÉROLA (t),PRODUTOR,AC,01/2016,"1192,60"
ABACAXI PÉROLA (t),PRODUTOR,AC,02/2016,"1811,62"
ABACAXI PÉROLA (t),PRODUTOR,AC,03/2016,"2364,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,04/2016,"2210,60"
ABACAXI PÉROLA (t),PRODUTOR,AC,05/2016,"2167,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,06/2016,"2259,40"
ABACAXI PÉROLA (t),PRODUTOR,AC,07/2016,"2250,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,08/2016,"2250,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,10/2016,"2325,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,11/2016,"2322,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,12/2016,"2346,25"
ABACAXI PÉROLA (t),PRODUTOR,AC,01/2017,"2378,75"
ABACAXI PÉROLA (t),PRODUTOR,AC,02/2017,"2612,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,03/2017,"3024,00"
ABACAXI PÉROLA (t),PRODUTOR,AC,04/2017,"3112,50"
ABACAXI PÉROLA (t),PRODUTOR,AC,05/2017,"3178,04"
ABACAXI PÉROLA (t),PRODUTOR,AC,06/2017,"3178,07"
ABACAXI PÉROLA (t),PRODUTOR,AC,07/2017,"3159,96"
ABACAXI PÉROLA (t),PRODUTOR,AC,08/2017,"2817,66"
ABACAXI PÉROLA (t),PRODUTOR,AC,09/2017,"2452,62"
ABACAXI PÉROLA (t),PRODUTOR,AC,10/2017,"2211,25"
ABACAXI PÉROLA (t),PRODUTOR,AC,11/2017,"1957,61"
ABACAXI PÉROLA (t),PRODUTOR,AC,12/2017,"1986,31"
ABACAXI PÉROLA (t),PRODUTOR,BA,01/2014,"1800,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,07/2014,"1500,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,08/2014,"1500,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,09/2014,"1425,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,10/2014,"1680,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,11/2014,"1477,50"
ABACAXI PÉROLA (t),PRODUTOR,BA,12/2014,"1150,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,06/2015,"1500,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,07/2015,"1430,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,08/2015,"1225,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,09/2015,"1775,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,10/2015,"1460,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,11/2015,"1475,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,12/2015,"1225,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,01/2016,"1880,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,06/2016,"1500,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,07/2016,"1450,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,08/2016,"1840,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,09/2016,"1525,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,10/2016,"1300,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,11/2016,"1240,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,12/2016,"1625,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,06/2017,"1050,00"
ABACAXI PÉROLA (t),PRODUTOR,BA,07/2017,"1314,29"
ABACAXI PÉROLA (t),PRODUTOR,BA,08/2017,"1613,04"
ABACAXI PÉROLA (t),PRODUTOR,BA,09/2017,"1657,14"
ABACAXI PÉROLA (t),PRODUTOR,BA,10/2017,"1834,09"
ABACAXI PÉROLA (t),PRODUTOR,BA,11/2017,"1359,09"
ABACAXI PÉROLA (t),PRODUTOR,BA,12/2017,"1309,52"
ABACAXI PÉROLA (t),PRODUTOR,CE,01/2014,"1820,00"
ABACAXI PÉROLA (t),PRODUTOR,CE,02/2014,"1775,00"
ABACAXI PÉROLA (t),PRODUTOR,CE,03/2014,"1575,00"
ABACAXI PÉROLA (t),PRODUTOR,CE,04/2014,"1687,50"
ABACAXI PÉROLA (t),PRODUTOR,CE,05/2014,"1765,00"
ABACAXI PÉROLA (t),PRODUTOR,CE,06/2014,"1700,00"
ABACAXI PÉROLA (t),PRODUTOR,CE,07/2014,"1662,50"
ABACAXI PÉROLA (t),PRODUTOR,CE,08/2014,"1660,00"
ABACAXI PÉROLA (t),PRODUTOR,CE,09/2014,"1656,25"
ABACAXI PÉROLA (t),PRODUTOR,CE,10/2014,"1710,00"
